stage,dataset_size,seed,normal_scenario,challenge_threshold,normal_fit_count,attack_fit_count,normal_calibration_count,attack_calibration_count,validation_fpr,validation_sequence_detection,validation_preobjective_detection,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr,warn_fpr,block_fpr,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
supervised_sequence_v6,500,44,normal_nat_burst,0.5994079797045307,17964,272,15600,272,0.0009615384615384616,1.0,1.0,257,1,1199,15,0.9961240310077519,0.9448529411764706,0.9698113207547169,0.9991605392156864,0.9977659689184482,0.0008333333333333334,0.0008333333333333334,0.0,1.0,1.0,1.0,1.0,1.0,1200,272,68
hardened_v3_event,500,45,normal_staggered,0.627540215706062,17964,272,15600,272,0.0009615384615384616,1.0,1.0,0,1,1199,272,0.0,0.0,0.0,0.7960661764705883,0.5708709938718248,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
supervised_sequence_v6,500,45,normal_staggered,0.627540215706062,17964,272,15600,272,0.0009615384615384616,1.0,1.0,255,3,1197,17,0.9883720930232558,0.9375,0.9622641509433962,0.9985386029411765,0.9941237559783583,0.0025,0.0025,0.0,1.0,1.0,1.0,1.0,1.0,1200,272,68
hardened_v3_event,500,45,normal_nat_burst,0.539297364759338,17964,272,15600,272,0.0009615384615384616,1.0,1.0,0,3,1197,272,0.0,0.0,0.0,0.9231265318627451,0.795842566010753,0.0025,0.0025,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
supervised_sequence_v6,500,45,normal_nat_burst,0.539297364759338,17964,272,15600,272,0.0009615384615384616,1.0,1.0,254,3,1197,18,0.9883268482490273,0.9338235294117647,0.9603024574669188,0.99890625,0.9967465341966147,0.0025,0.0025,0.0,1.0,1.0,0.9852941176470589,1.0,1.0,1200,272,68
hardened_v3_event,500,46,normal_staggered,0.5714509353760511,17964,272,15600,272,0.0009615384615384616,1.0,1.0,0,2,1198,272,0.0,0.0,0.0,0.8062775735294119,0.6095168824784251,0.0016666666666666668,0.004166666666666667,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
supervised_sequence_v6,500,46,normal_staggered,0.5714509353760511,17964,272,15600,272,0.0009615384615384616,1.0,1.0,257,6,1194,15,0.9771863117870723,0.9448529411764706,0.9607476635514018,0.9973912377450981,0.9910498142373971,0.005,0.0075,0.0,1.0,1.0,1.0,1.0,1.0,1200,272,68
hardened_v3_event,500,46,normal_nat_burst,0.4839960960752812,17964,272,15600,272,0.0009615384615384616,1.0,1.0,0,1,1199,272,0.0,0.0,0.0,0.9103538602941176,0.7826260499087894,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
supervised_sequence_v6,500,46,normal_nat_burst,0.4839960960752812,17964,272,15600,272,0.0009615384615384616,1.0,1.0,263,1,1199,9,0.9962121212121212,0.9669117647058824,0.9813432835820896,0.9998682598039215,0.9994229433747002,0.0008333333333333334,0.0008333333333333334,0.0,1.0,1.0,1.0,1.0,1.0,1200,272,68
hardened_v3_event,1000,42,normal_staggered,0.6176375223816636,21564,272,16800,272,0.0009523809523809524,1.0,1.0,0,8,2392,272,0.0,0.0,0.0,0.7492746629901961,0.38412199652321244,0.0033333333333333335,0.00375,0.00125,0.0,0.0,0.0,5.0,1.0,2400,272,68
