stage,dataset_size,seed,normal_scenario,attack_type,attack_family,expected_action,challenge_recall,policy_success,mean_score
full_v2,10,44,normal_nat_burst,attack_combined_ato,known,block,1.0,1.0,0.9666666666666667
full_v2,10,44,normal_nat_burst,attack_failed_near_threshold,evasive,challenge,0.0,0.0,0.1333333333333334
full_v2,10,44,normal_nat_burst,attack_velocity_near_threshold,evasive,challenge,0.0,0.0,0.05666666666666667
full_v2,10,44,normal_nat_burst,attack_concurrent_near_threshold,evasive,challenge,0.16666666666666666,0.16666666666666666,0.31250000000000006
full_v2,10,44,normal_nat_burst,attack_session_exfiltration,evasive,challenge,0.0,0.0,0.0775
full_v2,10,44,normal_nat_burst,attack_lateral_known_path,evasive,challenge,0.5,0.5,0.305
full_v2,10,44,normal_nat_burst,attack_low_slow_ato,evasive,challenge,0.0,0.0,0.19166666666666665
hardened_v3,10,44,normal_nat_burst,attack_new_device,known,challenge,1.0,1.0,0.67625
hardened_v3,10,44,normal_nat_burst,attack_new_ua_family,known,challenge,1.0,1.0,0.39250000000000007
hardened_v3,10,44,normal_nat_burst,attack_new_os,known,warn,0.0,1.0,0.205
hardened_v3,10,44,normal_nat_burst,attack_off_hours,known,warn,0.0,0.5,0.2058333333333333
hardened_v3,10,44,normal_nat_burst,attack_failed_spike,known,challenge,1.0,1.0,0.6791666666666667
hardened_v3,10,44,normal_nat_burst,attack_login_velocity,known,challenge,1.0,1.0,0.6825000000000001
hardened_v3,10,44,normal_nat_burst,attack_concurrent_sessions,known,challenge,1.0,1.0,0.5775
hardened_v3,10,44,normal_nat_burst,attack_subsystem_lateral,known,challenge,1.0,1.0,0.9499999999999998
hardened_v3,10,44,normal_nat_burst,attack_new_passkey,known,challenge,1.0,1.0,0.5883333333333334
hardened_v3,10,44,normal_nat_burst,attack_permission_change,known,challenge,1.0,1.0,0.765
hardened_v3,10,44,normal_nat_burst,attack_combined_ato,known,block,1.0,1.0,0.9833333333333335
hardened_v3,10,44,normal_nat_burst,attack_failed_near_threshold,evasive,challenge,1.0,1.0,0.37999999999999995
hardened_v3,10,44,normal_nat_burst,attack_velocity_near_threshold,evasive,challenge,1.0,1.0,0.285
hardened_v3,10,44,normal_nat_burst,attack_concurrent_near_threshold,evasive,challenge,1.0,1.0,0.8566666666666668
hardened_v3,10,44,normal_nat_burst,attack_session_exfiltration,evasive,challenge,0.0,0.0,0.22999999999999998
hardened_v3,10,44,normal_nat_burst,attack_lateral_known_path,evasive,challenge,1.0,1.0,0.815
hardened_v3,10,44,normal_nat_burst,attack_low_slow_ato,evasive,challenge,1.0,1.0,0.4499999999999999
full_v2,10,45,normal_staggered,attack_new_device,known,challenge,1.0,1.0,0.9116666666666667
full_v2,10,45,normal_staggered,attack_new_ua_family,known,challenge,1.0,1.0,0.6145833333333335
full_v2,10,45,normal_staggered,attack_new_os,known,warn,0.0,0.0,0.4116666666666667
full_v2,10,45,normal_staggered,attack_off_hours,known,warn,0.0,0.0,0.22583333333333333
full_v2,10,45,normal_staggered,attack_failed_spike,known,challenge,1.0,1.0,0.5420833333333334
full_v2,10,45,normal_staggered,attack_login_velocity,known,challenge,1.0,1.0,0.545
full_v2,10,45,normal_staggered,attack_concurrent_sessions,known,challenge,1.0,1.0,0.4595833333333333
full_v2,10,45,normal_staggered,attack_subsystem_lateral,known,challenge,0.5833333333333334,0.5833333333333334,0.52
full_v2,10,45,normal_staggered,attack_new_passkey,known,challenge,1.0,1.0,0.5966666666666667
full_v2,10,45,normal_staggered,attack_permission_change,known,challenge,1.0,1.0,0.6425
full_v2,10,45,normal_staggered,attack_combined_ato,known,block,1.0,1.0,0.9874999999999999
full_v2,10,45,normal_staggered,attack_failed_near_threshold,evasive,challenge,0.0,0.0,0.2266666666666667
full_v2,10,45,normal_staggered,attack_velocity_near_threshold,evasive,challenge,0.0,0.0,0.13416666666666668
full_v2,10,45,normal_staggered,attack_concurrent_near_threshold,evasive,challenge,0.16666666666666666,0.16666666666666666,0.38166666666666665
