stage,dataset_size,seed,normal_scenario,precision,challenge_recall,f1,challenge_fpr,warn_fpr,block_fpr,policy_success,known_policy_success,evasive_challenge_recall,normal_count,attack_count
hardened_v3,500,45,normal_nat_burst,0.9887640449438202,0.8461538461538461,0.9119170984455959,0.0025,0.0025,0.0,1.0,1.0,1.0,1200,312
full_v2,500,46,normal_staggered,0.9902439024390244,0.6506410256410257,0.7852998065764024,0.0016666666666666668,0.004166666666666667,0.0,0.8044871794871795,0.9916666666666667,0.18055555555555555,1200,312
hardened_v3,500,46,normal_staggered,0.9924812030075187,0.8461538461538461,0.9134948096885814,0.0016666666666666668,0.004166666666666667,0.0,1.0,1.0,1.0,1200,312
full_v2,500,46,normal_nat_burst,0.9951219512195122,0.6538461538461539,0.7891682785299806,0.0008333333333333334,0.0008333333333333334,0.0,0.8076923076923077,1.0,0.16666666666666666,1200,312
hardened_v3,500,46,normal_nat_burst,0.9962264150943396,0.8461538461538461,0.9150779896013865,0.0008333333333333334,0.0008333333333333334,0.0,1.0,1.0,1.0,1200,312
full_v2,1000,42,normal_staggered,0.9627906976744186,0.6634615384615384,0.7855787476280834,0.0033333333333333335,0.0033333333333333335,0.0,0.8173076923076923,0.9958333333333333,0.2222222222222222,2400,312
hardened_v3,1000,42,normal_staggered,0.9705882352941176,0.8461538461538461,0.9041095890410958,0.0033333333333333335,0.00375,0.00125,1.0,1.0,1.0,2400,312
full_v2,1000,42,normal_nat_burst,0.9853658536585366,0.6474358974358975,0.781431334622824,0.00125,0.00125,0.0,0.8012820512820513,1.0,0.1388888888888889,2400,312
hardened_v3,1000,42,normal_nat_burst,0.9887640449438202,0.8461538461538461,0.9119170984455959,0.00125,0.00125,0.0004166666666666667,1.0,1.0,1.0,2400,312
full_v2,1000,43,normal_staggered,0.9904761904761905,0.6666666666666666,0.7969348659003832,0.0008333333333333334,0.0016666666666666668,0.0,0.8205128205128205,1.0,0.2222222222222222,2400,312
hardened_v3,1000,43,normal_staggered,0.9924812030075187,0.8461538461538461,0.9134948096885814,0.0008333333333333334,0.0016666666666666668,0.0004166666666666667,1.0,1.0,1.0,2400,312
full_v2,1000,43,normal_nat_burst,0.9715639810426541,0.657051282051282,0.7839388145315487,0.0025,0.0025,0.0,0.8108974358974359,1.0,0.18055555555555555,2400,312
