stage,dataset_size,seed,normal_scenario,sequence_fit_count,sequence_calibration_count,warn_threshold,challenge_threshold,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr,warn_fpr,block_fpr,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
hardened_v3_event,100,46,normal_nat_burst,684,240,0.648805862319557,0.7118543191186416,0,1,239,272,0.0,0.0,0.0,0.8334482230392157,0.8632228467386904,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.0,0.0,0.0,5.0,1.0,240,272,68
sequence_model_v5,100,46,normal_nat_burst,684,240,0.648805862319557,0.7118543191186416,13,1,239,259,0.9285714285714286,0.04779411764705882,0.09090909090909091,0.8570772058823528,0.8707265397231673,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.19117647058823528,0.014705882352941176,0.17647058823529413,5.0,1.0,240,272,68
hardened_v3_event,500,42,normal_staggered,3564,1200,0.6748192221203332,0.7658873108991224,2,2,1198,270,0.5,0.007352941176470588,0.014492753623188406,0.8065824142156863,0.5858864728824202,0.0016666666666666668,0.0016666666666666668,0.0,0.029411764705882353,0.014705882352941176,0.014705882352941176,5.0,1.0,1200,272,68
sequence_model_v5,500,42,normal_staggered,3564,1200,0.6748192221203332,0.7658873108991224,2,2,1198,270,0.5,0.007352941176470588,0.014492753623188406,0.8064797794117646,0.556701117056663,0.0016666666666666668,0.005833333333333334,0.0,0.029411764705882353,0.014705882352941176,0.014705882352941176,5.0,1.0,1200,272,68
hardened_v3_event,500,42,normal_nat_burst,3564,1200,0.6415989816795615,0.7214689836414844,0,3,1197,272,0.0,0.0,0.0,0.9161871936274508,0.7775697461824458,0.0025,0.0025,0.0,0.0,0.0,0.0,5.0,1.0,1200,272,68
sequence_model_v5,500,42,normal_nat_burst,3564,1200,0.6415989816795615,0.7214689836414844,14,3,1197,258,0.8235294117647058,0.051470588235294115,0.09688581314878893,0.9082414215686275,0.7287328245374126,0.0025,0.009166666666666667,0.0,0.20588235294117646,0.029411764705882353,0.17647058823529413,5.0,1.0,1200,272,68
hardened_v3_event,500,43,normal_staggered,3564,1200,0.6320876424931862,0.7078596333188368,0,4,1196,272,0.0,0.0,0.0,0.7994577205882353,0.5818044027482439,0.0033333333333333335,0.0033333333333333335,0.0008333333333333334,0.0,0.0,0.0,5.0,1.0,1200,272,68
sequence_model_v5,500,43,normal_staggered,3564,1200,0.6320876424931862,0.7078596333188368,13,5,1195,259,0.7222222222222222,0.04779411764705882,0.0896551724137931,0.8020373774509804,0.5427895618205901,0.004166666666666667,0.014166666666666666,0.0008333333333333334,0.17647058823529413,0.014705882352941176,0.17647058823529413,5.0,1.0,1200,272,68
hardened_v3_event,500,43,normal_nat_burst,3564,1200,0.6441382999168782,0.6945958674084843,0,3,1197,272,0.0,0.0,0.0,0.9329656862745099,0.7998944489787891,0.0025,0.0025,0.0008333333333333334,0.0,0.0,0.0,5.0,1.0,1200,272,68
sequence_model_v5,500,43,normal_nat_burst,3564,1200,0.6441382999168782,0.6945958674084843,40,4,1196,232,0.9090909090909091,0.14705882352941177,0.25316455696202533,0.8913388480392158,0.7132339330311952,0.0033333333333333335,0.009166666666666667,0.0008333333333333334,0.4117647058823529,0.23529411764705882,0.35294117647058826,5.0,1.0,1200,272,68
