stage,dataset_size,seed,normal_scenario,challenge_threshold,warn_threshold,epochs_trained,validation_loss,tp,fp,total_policy_and_security_challenges,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr_total,unexpected_challenge_fpr,warn_or_higher_rate_total,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,normal_count,attack_phase_count,attack_sequence_count
disjoint_hybrid_v8,500,43,normal_staggered,0.99375771097075,0.8329295210344916,101,0.033365603608553715,395,4,204,996,65,0.9899749373433584,0.8586956521739131,0.919674039580908,0.9964583333333333,0.9852815823780533,0.17,0.004,0.195,1.0,0.9891304347826086,0.9021739130434783,1.0,1200,460,92
temporal_mlp_only_v8,500,43,normal_nat_burst,0.99375771097075,0.8329295210344916,101,0.033365603608553715,336,6,6,1194,124,0.9824561403508771,0.7304347826086957,0.8379052369077307,0.9963333333333333,0.9864885161208136,0.005,0.005,0.020833333333333332,0.9891304347826086,0.9565217391304348,0.8913043478260869,1.0,1200,460,92
disjoint_hybrid_v8,500,43,normal_nat_burst,0.99375771097075,0.8329295210344916,101,0.033365603608553715,371,5,205,995,89,0.9867021276595744,0.8065217391304348,0.8875598086124401,0.9963333333333333,0.9864885161208136,0.17083333333333334,0.005,0.1925,0.9891304347826086,0.967391304347826,0.9130434782608695,1.0,1200,460,92
temporal_mlp_only_v8,500,44,normal_staggered,0.9989359422142899,0.977559806936512,73,0.07016875256650869,231,3,3,1197,229,0.9871794871794872,0.5021739130434782,0.6657060518731989,0.9966938405797101,0.988091458755739,0.0025,0.0025,0.006666666666666667,0.9347826086956522,0.8152173913043478,0.8804347826086957,3.0,1200,460,92
disjoint_hybrid_v8,500,44,normal_staggered,0.9989359422142899,0.977559806936512,73,0.07016875256650869,268,2,202,998,192,0.9925925925925926,0.5826086956521739,0.7342465753424657,0.9966938405797101,0.988091458755739,0.16833333333333333,0.002,0.18583333333333332,0.9456521739130435,0.8586956521739131,0.8913043478260869,2.5,1200,460,92
temporal_mlp_only_v8,500,44,normal_nat_burst,0.9989359422142899,0.977559806936512,73,0.07016875256650869,209,6,6,1194,251,0.9720930232558139,0.4543478260869565,0.6192592592592592,0.9945489130434783,0.978581614501112,0.005,0.005,0.010833333333333334,0.8804347826086957,0.8152173913043478,0.8478260869565217,3.0,1200,460,92
disjoint_hybrid_v8,500,44,normal_nat_burst,0.9989359422142899,0.977559806936512,73,0.07016875256650869,240,5,205,995,220,0.9795918367346939,0.5217391304347826,0.6808510638297872,0.9945489130434783,0.978581614501112,0.17083333333333334,0.005,0.18583333333333332,0.8913043478260869,0.8369565217391305,0.8586956521739131,3.0,1200,460,92
temporal_mlp_only_v8,500,45,normal_staggered,0.9966790768769517,0.8982629928446617,120,0.038141898362707954,298,2,2,1198,162,0.9933333333333333,0.6478260869565218,0.7842105263157895,0.9981521739130435,0.9933128814284637,0.0016666666666666668,0.0016666666666666668,0.008333333333333333,0.9891304347826086,0.8804347826086957,0.8695652173913043,2.0,1200,460,92
disjoint_hybrid_v8,500,45,normal_staggered,0.9966790768769517,0.8982629928446617,120,0.038141898362707954,318,1,201,999,142,0.9968652037617555,0.691304347826087,0.816431322207959,0.9981521739130435,0.9933128814284637,0.1675,0.001,0.1875,0.9891304347826086,0.8804347826086957,0.8913043478260869,2.0,1200,460,92
temporal_mlp_only_v8,500,45,normal_nat_burst,0.9966790768769517,0.8982629928446617,120,0.038141898362707954,349,0,0,1200,111,1.0,0.758695652173913,0.8627935723114957,0.9988007246376811,0.9966205247167073,0.0,0.0,0.01,0.9891304347826086,0.9565217391304348,0.9565217391304348,1.0,1200,460,92
disjoint_hybrid_v8,500,45,normal_nat_burst,0.9966790768769517,0.8982629928446617,120,0.038141898362707954,378,0,200,1000,82,1.0,0.8217391304347826,0.9021479713603819,0.9988007246376811,0.9966205247167073,0.16666666666666666,0.0,0.18083333333333335,1.0,1.0,0.967391304347826,1.0,1200,460,92
